,"[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20231231,20221231,20211231,20201231,20191231,20181231,20171231
,concept_id,label_ko,label_en,class0,class1,class2,class3,class4,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
0,ifrs-full_CurrentAssets,유동자산,Current assets,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,,,195936557000000.0,218470581000000.0,218163185000000.0,198215579000000.0,181385260000000.0,174697424000000.0,146982464000000.0
1,ifrs-full_CashAndCashEquivalents,현금및현금성자산,Cash and cash equivalents,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,현금및현금성자산,,69080893000000.0,49680710000000.0,39031415000000.0,29382578000000.0,26885999000000.0,30340505000000.0,30545130000000.0
2,ifrs-full_ShorttermDepositsNotClassifiedAsCashEquivalents,단기금융상품,Short-term financial instruments,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,단기금융상품,,22690924000000.0,65102886000000.0,81708986000000.0,92441703000000.0,76252052000000.0,65893797000000.0,49447696000000.0
3,ifrs-full_CurrentFinancialAssetsAtAmortisedCost,단기상각후원가금융자산,Short-term financial assets at amortized cost,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,단기상각후원가금융자산,,608281000000.0,414610000000.0,3369034000000.0,2757111000000.0,3914216000000.0,2703693000000.0,
4,ifrs-full_CurrentFinancialAssetsAtFairValueThroughProfitOrLoss,단기당기손익-공정가치금융자산,Short-term financial assets at fair value through profit or loss,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,단기당기손익-공정가치금융자산,,27112000000.0,29080000000.0,40757000000.0,71451000000.0,1727436000000.0,2001948000000.0,
5,ifrs-full_CurrentTradeReceivables,매출채권,Trade receivables,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,매출채권,,36647393000000.0,35721563000000.0,40713415000000.0,30965058000000.0,35131343000000.0,33867733000000.0,27695995000000.0
6,dart_ShortTermOtherReceivables,미수금,Non-trade receivables,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,미수금,,6633248000000.0,6149209000000.0,4497257000000.0,3604539000000.0,4179120000000.0,3080733000000.0,4108961000000.0
7,dart_ShortTermPrepaidExpenses,선급비용,Prepaid expenses,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,선급비용,,3366130000000.0,2867823000000.0,2336252000000.0,2266100000000.0,2406220000000.0,4136167000000.0,3835219000000.0
8,ifrs-full_Inventories,재고자산,Inventories,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,재고자산,,51625874000000.0,52187866000000.0,41384404000000.0,32043145000000.0,26766464000000.0,28984704000000.0,24983355000000.0
