,"[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)","[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)","[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)","[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)","[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)","[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)",20230101-20231231,20220101-20221231,20210101-20211231,20200101-20201231,20190101-20191231,20180101-20181231,20170101-20171231
,concept_id,label_ko,label_en,class0,class1,class2,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
0,ifrs-full_Revenue,영업수익,Revenue,ifrs-full:IncomeStatementAbstract,영업수익,,258935494000000.0,302231360000000.0,279604799000000.0,236806988000000.0,230400881000000.0,243771415000000.0,239575376000000.0
1,ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:IncomeStatementAbstract,매출원가,,180388580000000.0,190041770000000.0,166411342000000.0,144488296000000.0,147239549000000.0,132394411000000.0,129290661000000.0
2,ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:IncomeStatementAbstract,매출총이익,,78546914000000.0,112189590000000.0,113193457000000.0,92318692000000.0,83161332000000.0,111377004000000.0,110284715000000.0
3,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling and administrative expenses,ifrs-full:IncomeStatementAbstract,판매비와관리비,,71979938000000.0,68812960000000.0,61559601000000.0,56324816000000.0,55392823000000.0,52490335000000.0,56639677000000.0
4,dart_OperatingIncomeLoss,영업이익,Operating profit (loss),ifrs-full:IncomeStatementAbstract,영업이익,,6566976000000.0,43376630000000.0,51633856000000.0,35993876000000.0,27768509000000.0,58886669000000.0,53645038000000.0
5,dart_OtherGains,기타이익,Other gains,ifrs-full:IncomeStatementAbstract,기타이익,,1180448000000.0,1962071000000.0,2205695000000.0,1384068000000.0,1778666000000.0,1485037000000.0,3010657000000.0
6,dart_OtherLosses,기타손실,Other losses,ifrs-full:IncomeStatementAbstract,기타손실,,1083327000000.0,1790176000000.0,2055971000000.0,2488902000000.0,1414707000000.0,1142018000000.0,1419648000000.0
7,ifrs-full_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법이익,Share of net profit of associates and joint ventures,ifrs-full:IncomeStatementAbstract,지분법이익,,887550000000.0,1090643000000.0,729614000000.0,506530000000.0,412960000000.0,539845000000.0,201442000000.0
8,ifrs-full_FinanceIncome,금융수익,Financial income,ifrs-full:IncomeStatementAbstract,금융수익,,16100148000000.0,20828995000000.0,8543187000000.0,12267600000000.0,10161632000000.0,9999321000000.0,9737391000000.0
9,ifrs-full_FinanceCosts,금융비용,Financial expense,ifrs-full:IncomeStatementAbstract,금융비용,,12645530000000.0,19027689000000.0,7704554000000.0,11318055000000.0,8274871000000.0,8608896000000.0,8978913000000.0
10,ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익(손실),Profit before income tax,ifrs-full:IncomeStatementAbstract,법인세비용차감전순이익(손실),,11006265000000.0,46440474000000.0,53351827000000.0,36345117000000.0,30432189000000.0,61159958000000.0,56195967000000.0
11,ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용(수익),Income tax expense (benefit),ifrs-full:IncomeStatementAbstract,법인세비용(수익),,-4480835000000.0,-9213603000000.0,13444377000000.0,9937285000000.0,8693324000000.0,16815101000000.0,14009220000000.0
12,ifrs-full_ProfitLossFromContinuingOperations,계속영업이익(손실),Profit (loss) from continuing operations,ifrs-full:IncomeStatementAbstract,계속영업이익(손실),,15487100000000.0,55654077000000.0,39907450000000.0,26407832000000.0,21738865000000.0,44344857000000.0,42186747000000.0
13,ifrs-full_ProfitLoss,당기순이익(손실),Profit for the year,ifrs-full:IncomeStatementAbstract,당기순이익(손실),,15487100000000.0,55654077000000.0,39907450000000.0,26407832000000.0,21738865000000.0,44344857000000.0,42186747000000.0
14,ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 당기순이익(손실),Profit attributable to Owners of the parent company,ifrs-full:IncomeStatementAbstract,당기순이익(손실)의 귀속,지배기업의 소유주에게 귀속되는 당기순이익(손실),14473401000000.0,54730018000000.0,39243791000000.0,26090846000000.0,21505054000000.0,43890877000000.0,41344569000000.0
15,ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분에 귀속되는 당기순이익(손실),Profit attributable to Non-controlling interests,ifrs-full:IncomeStatementAbstract,당기순이익(손실)의 귀속,비지배지분에 귀속되는 당기순이익(손실),1013699000000.0,924059000000.0,663659000000.0,316986000000.0,233811000000.0,453980000000.0,842178000000.0
16,ifrs-full_BasicEarningsLossPerShare,기본주당이익(손실),- Basic,ifrs-full:IncomeStatementAbstract,주당이익,기본주당이익(손실),2131.0,8057.0,5777.0,3841.0,3166.0,6461.0,5997.0
17,ifrs-full_DilutedEarningsLossPerShare,희석주당이익(손실),- Diluted,ifrs-full:IncomeStatementAbstract,주당이익,희석주당이익(손실),2131.0,8057.0,5777.0,3841.0,3166.0,6461.0,5997.0
