,"[D410000] 포괄손익계산서, 세후로 표시된 OCI 구성요소 - 연결 | Statement of comprehensive income - Consolidated financial statements (Unit: KRW)","[D410000] 포괄손익계산서, 세후로 표시된 OCI 구성요소 - 연결 | Statement of comprehensive income - Consolidated financial statements (Unit: KRW)","[D410000] 포괄손익계산서, 세후로 표시된 OCI 구성요소 - 연결 | Statement of comprehensive income - Consolidated financial statements (Unit: KRW)","[D410000] 포괄손익계산서, 세후로 표시된 OCI 구성요소 - 연결 | Statement of comprehensive income - Consolidated financial statements (Unit: KRW)","[D410000] 포괄손익계산서, 세후로 표시된 OCI 구성요소 - 연결 | Statement of comprehensive income - Consolidated financial statements (Unit: KRW)","[D410000] 포괄손익계산서, 세후로 표시된 OCI 구성요소 - 연결 | Statement of comprehensive income - Consolidated financial statements (Unit: KRW)","[D410000] 포괄손익계산서, 세후로 표시된 OCI 구성요소 - 연결 | Statement of comprehensive income - Consolidated financial statements (Unit: KRW)",20230101-20231231,20220101-20221231,20210101-20211231,20200101-20201231,20190101-20191231,20180101-20181231,20170101-20171231
,concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
0,ifrs-full_ProfitLoss,당기순이익(손실),Profit for the year,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익(손실),,,15487100000000.0,55654077000000.0,39907450000000.0,26407832000000.0,21738865000000.0,44344857000000.0,42186747000000.0
1,ifrs-full_OtherComprehensiveIncome,기타포괄손익(*4),Other comprehensive income (loss)(*4),ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익(*4),,,3350311000000.0,4005664000000.0,10002299000000.0,-3673905000000.0,3016194000000.0,-12242000000.0,-5502257000000.0
2,ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되지 않는 포괄손익,Items that will not be reclassified subsequently to profit or loss,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익(*4),후속적으로 당기손익으로 재분류되지 않는 포괄손익,,665943000000.0,-822137000000.0,2508106000000.0,1788764000000.0,-50765000000.0,-656647000000.0,407900000000.0
3,ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesFromInvestmentsInEquityInstruments,기타포괄손익-공정가치금융자산평가손익,"Gain (loss) on valuation of financial assets at fair value through other comprehensive income, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익(*4),후속적으로 당기손익으로 재분류되지 않는 포괄손익,기타포괄손익-공정가치금융자산평가손익,1481091000000.0,-1969498000000.0,2980896000000.0,2502733000000.0,1146599000000.0,-235865000000.0,
4,ifrs-full_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillNotBeReclassifiedToProfitOrLossNetOfTax,관계기업 및 공동기업의 기타포괄손익에 대한 지분,"Share of other comprehensive income (loss) of associates and joint ventures, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익(*4),후속적으로 당기손익으로 재분류되지 않는 포괄손익,관계기업 및 공동기업의 기타포괄손익에 대한 지분,13150000000.0,-6318000000.0,51816000000.0,5591000000.0,-16896000000.0,-10631000000.0,-6347000000.0
5,ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,순확정급여부채(자산) 재측정요소,"Remeasurement of net defined benefit liabilities, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익(*4),후속적으로 당기손익으로 재분류되지 않는 포괄손익,순확정급여부채(자산) 재측정요소,-828298000000.0,1153679000000.0,-524606000000.0,-719560000000.0,-1180468000000.0,-410151000000.0,414247000000.0
6,ifrs-full_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,당기손익으로 재분류되는 세후기타포괄손익,"Other comprehensive income that will be reclassified to profit or loss, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익(*4),당기손익으로 재분류되는 세후기타포괄손익,,2684368000000.0,4827801000000.0,7494193000000.0,-5462669000000.0,3066959000000.0,644405000000.0,-5910157000000.0
7,ifrs-full_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillBeReclassifiedToProfitOrLossNetOfTax,관계기업 및 공동기업의 기타포괄손익에 대한 지분,"Share of other comprehensive income (loss) of associates and joint ventures, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익(*4),당기손익으로 재분류되는 세후기타포괄손익,관계기업 및 공동기업의 기타포괄손익에 대한 지분,61962000000.0,-44192000000.0,160163000000.0,-48888000000.0,48649000000.0,6688000000.0,-49256000000.0
8,ifrs-full_GainsLossesOnExchangeDifferencesOnTranslationNetOfTax,해외사업장환산외환차이,"Foreign currency translation differences for foreign operations translation, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익(*4),당기손익으로 재분류되는 세후기타포괄손익,해외사업장환산외환차이,2621479000000.0,4884886000000.0,7283620000000.0,-5380375000000.0,3016499000000.0,590638000000.0,-6334987000000.0
