,"[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20230101-20231231,20220101-20221231,20210101-20211231,20200101-20201231,20190101-20191231,20180101-20181231,20170101-20171231
,concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
0,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,Cash flows from (used in) operating activities,현금흐름표 [개요],영업활동현금흐름,,,44137427000000.0,62181346000000.0,65105448000000.0,65287009000000.0,45382915000000.0,67031863000000.0,62162041000000.0
1,ifrs-full_CashFlowsFromUsedInOperations,영업에서 창출된 현금흐름,Cash flows from (used in) operations,현금흐름표 [개요],영업활동현금흐름,영업에서 창출된 현금흐름,,46547889000000.0,71728568000000.0,72676199000000.0,68148810000000.0,56635791000000.0,78025064000000.0,67777432000000.0
2,ifrs-full_ProfitLoss,당기순이익,Profit for the year,현금흐름표 [개요],영업활동현금흐름,영업에서 창출된 현금흐름,당기순이익,15487100000000.0,55654077000000.0,39907450000000.0,26407832000000.0,21738865000000.0,44344857000000.0,42186747000000.0
3,ifrs-full_AdjustmentsForReconcileProfitLoss,조정 (주27),Adjustments to reconcile profit (loss),현금흐름표 [개요],영업활동현금흐름,영업에서 창출된 현금흐름,조정 (주27),36519534000000.0,33073439000000.0,49055633000000.0,41618554000000.0,37442682000000.0,43604573000000.0,36211232000000.0
4,dart_AdjustmentsForAssetsLiabilitiesOfOperatingActivities,영업활동으로 인한 자산부채의 변동 (주27),Adjustments for assets and liabilities of operating activities,현금흐름표 [개요],영업활동현금흐름,영업에서 창출된 현금흐름,영업활동으로 인한 자산부채의 변동 (주27),-5458745000000.0,-16998948000000.0,-16286884000000.0,122424000000.0,-2545756000000.0,-9924366000000.0,-10620547000000.0
5,ifrs-full_InterestReceivedClassifiedAsOperatingActivities,이자의 수취,Interest received,현금흐름표 [개요],영업활동현금흐름,이자의 수취,,4786010000000.0,2136795000000.0,1406706000000.0,2220209000000.0,2306401000000.0,1788520000000.0,1581117000000.0
6,ifrs-full_InterestPaidClassifiedAsOperatingActivities,이자의 지급,Interest paid,현금흐름표 [개요],영업활동현금흐름,이자의 지급,,844691000000.0,714543000000.0,434441000000.0,555321000000.0,579979000000.0,548272000000.0,542715000000.0
7,ifrs-full_DividendsReceivedClassifiedAsOperatingActivities,배당금 수입,Dividends received,현금흐름표 [개요],영업활동현금흐름,배당금 수입,,269169000000.0,529421000000.0,299033000000.0,243666000000.0,241801000000.0,215992000000.0,173305000000.0
8,ifrs-full_IncomeTaxesPaidRefundClassifiedAsOperatingActivities,법인세 납부액,Income taxes paid,현금흐름표 [개요],영업활동현금흐름,법인세 납부액,,6620950000000.0,11498895000000.0,8842049000000.0,4770355000000.0,13221099000000.0,12449441000000.0,6827098000000.0
