,"[D310000] Income statement, by function of expense - Consolidated financial statements (Unit: KRW)","[D310000] Income statement, by function of expense - Consolidated financial statements (Unit: KRW)","[D310000] Income statement, by function of expense - Consolidated financial statements (Unit: KRW)","[D310000] Income statement, by function of expense - Consolidated financial statements (Unit: KRW)","[D310000] Income statement, by function of expense - Consolidated financial statements (Unit: KRW)","[D310000] Income statement, by function of expense - Consolidated financial statements (Unit: KRW)","[D310000] Income statement, by function of expense - Consolidated financial statements (Unit: KRW)",20230101-20231231,20220101-20221231,20210101-20211231,20200101-20201231,20190101-20191231,20180101-20181231,20170101-20171231,20160101-20161231,20140101-20141231,20130101-20131231,20120101-20121231
,concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
0,ifrs-full_Revenue,매출액,Sales,손익계산서 [abstract],매출액,,,162663579000000.0,142527535000000.0,117610626000000.0,103997601000000.0,105746422000000.0,96812609000000.0,96376079000000.0,93649024000000.0,89256319000000.0,87307636000000.0,84469721000000.0
1,ifrs-full_CostOfSales,매출원가,Cost of sales,손익계산서 [abstract],매출원가,,,129179183000000.0,114209483000000.0,95680131000000.0,85515931000000.0,88091409000000.0,81670479000000.0,78798172000000.0,75959720000000.0,70126276000000.0,67859491000000.0,64967273000000.0
2,ifrs-full_GrossProfit,매출총이익,Gross profit,손익계산서 [abstract],매출총이익,,,33484396000000.0,28318052000000.0,21930495000000.0,18481670000000.0,17655013000000.0,15142130000000.0,17577907000000.0,17689304000000.0,19130043000000.0,19448145000000.0,19502448000000.0
3,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling and administrative expenses,손익계산서 [abstract],판매비와관리비,,,18357495000000.0,18498283000000.0,15251546000000.0,16086999000000.0,14049508000000.0,12719965000000.0,13003240000000.0,12495804000000.0,11580057000000.0,11132648000000.0,11061847000000.0
4,dart_OperatingIncomeLoss,영업이익,Operating income(loss),손익계산서 [abstract],영업이익,,,15126901000000.0,9819769000000.0,6678949000000.0,2394671000000.0,3605505000000.0,2422165000000.0,4574667000000.0,5193500000000.0,7549986000000.0,8315497000000.0,8440601000000.0
5,entity00164742_udf_IS_201711292448594_IncomeStatementAbstract,  공동기업및관계기업투자손익,Share of profit (loss) of associates and joint ventures accounted for using equity method,손익계산서 [abstract],  공동기업및관계기업투자손익,,,2470933000000.0,1556583000000.0,1303365000000.0,162162000000.0,542826000000.0,404541000000.0,225053000000.0,1729447000000.0,2388658000000.0,3057109000000.0,2581564000000.0
6,ifrs-full_FinanceIncome,  금융수익,Finance income,손익계산서 [abstract],  금융수익,,,1559538000000.0,1218813000000.0,912802000000.0,813916000000.0,827120000000.0,823499000000.0,972943000000.0,1111238000000.0,881883000000.0,805261000000.0,969726000000.0
7,ifrs-full_FinanceCosts,  금융비용,Finance costs,손익계산서 [abstract],  금융비용,,,970700000000.0,1054228000000.0,548410000000.0,955991000000.0,475218000000.0,600867000000.0,1120386000000.0,678037000000.0,601019000000.0,552709000000.0,624473000000.0
8,dart_OtherGains,  기타수익,Other gains,손익계산서 [abstract],  기타수익,,,1782333000000.0,2257113000000.0,1447261000000.0,1308642000000.0,1120958000000.0,967281000000.0,1153744000000.0,1177887000000.0,1039865000000.0,1138001000000.0,1231360000000.0
9,dart_OtherLosses,  기타비용,Other losses,손익계산서 [abstract],  기타비용,,,2350343000000.0,2850107000000.0,1834405000000.0,1630144000000.0,1457425000000.0,1487037000000.0,1367471000000.0,1226963000000.0,1308099000000.0,1066453000000.0,988336000000.0
10,ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익,Income before income tax,손익계산서 [abstract],법인세비용차감전순이익,,,17618662000000.0,10947943000000.0,7959562000000.0,2093256000000.0,4163766000000.0,2529582000000.0,4438550000000.0,7307072000000.0,9951274000000.0,11696706000000.0,11610442000000.0
