,회사명,거래소코드,회계년도
0,(주)MH에탄올,23150,2020/12
1,(주)MH에탄올,23150,2021/12
2,(주)MH에탄올,23150,2022/12
3,(주)MH에탄올,23150,2023/12
4,(주)SIMPAC,9160,2020/12
5,(주)SIMPAC,9160,2021/12
6,(주)SIMPAC,9160,2022/12
7,(주)SIMPAC,9160,2023/12
8,(주)SNT에너지,100840,2020/12
9,(주)SNT에너지,100840,2021/12
10,(주)SNT에너지,100840,2022/12
11,(주)SNT에너지,100840,2023/12
12,(주)SNT홀딩스,36530,2020/12
13,(주)SNT홀딩스,36530,2021/12
14,(주)SNT홀딩스,36530,2022/12
15,(주)SNT홀딩스,36530,2023/12
16,(주)TCC스틸,2710,2020/12
17,(주)TCC스틸,2710,2021/12
18,(주)TCC스틸,2710,2022/12
19,(주)TCC스틸,2710,2023/12
20,(주)강원랜드,35250,2020/12
21,(주)강원랜드,35250,2021/12
22,(주)강원랜드,35250,2022/12
23,(주)강원랜드,35250,2023/12
24,(주)경농,2100,2020/12
25,(주)경농,2100,2021/12
26,(주)경농,2100,2022/12
27,(주)경농,2100,2023/12
28,(주)경동나비엔,9450,2020/12
29,(주)경동나비엔,9450,2021/12
30,(주)경동나비엔,9450,2022/12
31,(주)경동나비엔,9450,2023/12
32,(주)경동도시가스,267290,2020/12
33,(주)경동도시가스,267290,2021/12
34,(주)경동도시가스,267290,2022/12
35,(주)경동도시가스,267290,2023/12
36,(주)경방,50,2020/12
37,(주)경방,50,2021/12
38,(주)경방,50,2022/12
39,(주)경방,50,2023/12
40,(주)경인양행,12610,2020/12
41,(주)경인양행,12610,2021/12
42,(주)경인양행,12610,2022/12
43,(주)경인양행,12610,2023/12
44,(주)광명전기,17040,2020/12
45,(주)광명전기,17040,2021/12
46,(주)광명전기,17040,2022/12
47,(주)광명전기,17040,2023/12
48,(주)국동,5320,2020/12
49,(주)국동,5320,2021/12
50,(주)국동,5320,2022/12
51,(주)국동,5320,2023/12
52,(주)금호에이치티,214330,2020/12
53,(주)금호에이치티,214330,2021/12
54,(주)금호에이치티,214330,2022/12
55,(주)금호에이치티,214330,2023/12
56,(주)나이스홀딩스,34310,2020/12
57,(주)나이스홀딩스,34310,2021/12
58,(주)나이스홀딩스,34310,2022/12
59,(주)나이스홀딩스,34310,2023/12
60,(주)남성,4270,2020/12
61,(주)남성,4270,2021/12
62,(주)남성,4270,2022/12
63,(주)남성,4270,2023/12
64,(주)넥센,5720,2020/12
65,(주)넥센,5720,2021/12
66,(주)넥센,5720,2022/12
67,(주)넥센,5720,2023/12
68,(주)노루페인트,90350,2020/12
69,(주)노루페인트,90350,2021/12
70,(주)노루페인트,90350,2022/12
71,(주)노루페인트,90350,2023/12
72,(주)농심,4370,2020/12
73,(주)농심,4370,2021/12
74,(주)농심,4370,2022/12
75,(주)농심,4370,2023/12
76,(주)다우기술,23590,2020/12
77,(주)다우기술,23590,2021/12
