,회사명,거래소코드,회계년도,단기차입금,유동성장기부채,사채,장기차입금,법인세비용,자본,부채,이자비용,세후타인자본비용
0,(주)MH에탄올,23150,2020/12,44520549.0,7136962.0,0.0,0.0,1259646.0,80425495.0,369253871.0,12276917.0,0.23765986324815377
1,(주)MH에탄올,23150,2021/12,45807596.0,143193536.0,0.0,0.0,2879109.0,84703339.0,366757413.0,12134724.0,0.06420450434127559
2,(주)MH에탄올,23150,2022/12,73992274.0,13973952.0,0.0,0.0,-1752590.0,95397727.0,352042677.0,11711547.0,0.13313685868483205
3,(주)MH에탄올,23150,2023/12,72818840.0,8700810.0,0.0,0.0,2575460.0,99070017.0,346161545.0,12192511.0,0.14956530112678354
4,(주)SIMPAC,9160,2020/12,142200000.0,55000.0,0.0,0.0,8722209.0,463986165.0,273291527.0,2954966.0,0.020772317317493235
5,(주)SIMPAC,9160,2021/12,177300000.0,13750.0,0.0,0.0,24829270.0,546662289.0,356567304.0,3566962.0,0.020116668899056053
6,(주)SIMPAC,9160,2022/12,231570000.0,0.0,0.0,0.0,19481090.0,599682757.0,365415682.0,5761061.0,0.024878270069525414
7,(주)SIMPAC,9160,2023/12,321886523.0,3000000.0,0.0,0.0,48419.0,582578412.0,475335058.0,13354680.0,0.04110567553459273
8,(주)SNT에너지,100840,2020/12,0.0,78839.0,0.0,0.0,3843196.0,235772710.0,99578947.0,53450.0,0.6779639518512411
9,(주)SNT에너지,100840,2021/12,0.0,235630.0,0.0,0.0,3894075.0,244849256.0,87294232.0,62387.0,0.2647667953995671
10,(주)SNT에너지,100840,2022/12,0.0,523027.0,0.0,0.0,1899119.0,255431113.0,174341588.0,335410.0,0.64128620510987
11,(주)SNT에너지,100840,2023/12,0.0,20000000.0,0.0,0.0,1609361.0,276014273.0,147149187.0,1808528.0,0.0904264
12,(주)SNT홀딩스,36530,2020/12,0.0,141570.0,0.0,0.0,24611937.0,1617529065.0,652956674.0,830850.0,5.868828141555414
13,(주)SNT홀딩스,36530,2021/12,0.0,141570.0,0.0,0.0,55266368.0,1780130380.0,592194060.0,581558.0,4.10791834428198
14,(주)SNT홀딩스,36530,2022/12,0.0,441570.0,0.0,0.0,51361166.0,1816295611.0,742131375.0,663414.0,1.5023982607514097
15,(주)SNT홀딩스,36530,2023/12,0.0,441570.0,0.0,0.0,35055183.0,1952822454.0,748975381.0,479669.0,1.0862807708857032
16,(주)TCC스틸,2710,2020/12,30931507.0,71403440.0,0.0,0.0,1223159.0,121130879.0,185628052.0,6061332.0,0.05923032334203486
17,(주)TCC스틸,2710,2021/12,76517990.0,2219618.0,0.0,0.0,10511755.0,155229149.0,211767466.0,5171276.0,0.06567733172691759
18,(주)TCC스틸,2710,2022/12,112275484.0,32587986.0,0.0,0.0,6086204.0,208804980.0,298677336.0,7822500.0,0.05399912068929455
19,(주)TCC스틸,2710,2023/12,142521520.0,22603328.0,0.0,0.0,-1939957.0,235047322.0,324690124.0,7632154.0,0.04622050583204776
20,(주)강원랜드,35250,2020/12,0.0,0.0,0.0,0.0,-128621634.0,3247028580.0,394603621.0,1875678.0,inf
21,(주)강원랜드,35250,2021/12,0.0,0.0,0.0,0.0,-3577132.0,3252792611.0,574480852.0,1711386.0,inf
22,(주)강원랜드,35250,2022/12,0.0,0.0,0.0,0.0,52239058.0,3415377901.0,752374770.0,1827307.0,inf
23,(주)강원랜드,35250,2023/12,0.0,0.0,0.0,0.0,116360620.0,3677900816.0,770755022.0,7658834.0,inf
24,(주)경농,2100,2020/12,64648943.0,11600000.0,0.0,0.0,4307218.0,211372233.0,160153423.0,2802429.0,0.036753676703426566
25,(주)경농,2100,2021/12,66751838.0,4000000.0,0.0,0.0,1368219.0,236809394.0,151976386.0,2360701.0,0.03336593177975108
26,(주)경농,2100,2022/12,79209748.0,8500000.0,0.0,0.0,7046806.0,260484164.0,188148525.0,3615368.0,0.041219682902292686
27,(주)경농,2100,2023/12,77863870.0,10315200.0,0.0,0.0,8357368.0,268461032.0,180131702.0,6053450.0,0.0686495105924796
28,(주)경동나비엔,9450,2020/12,98646389.0,9953368.0,0.0,0.0,10737417.0,348163846.0,386524892.0,3954098.0,0.03640982364260723
29,(주)경동나비엔,9450,2021/12,87570278.0,7608316.0,0.0,0.0,21393281.0,450415463.0,483469066.0,3334397.0,0.03503305585707644
30,(주)경동나비엔,9450,2022/12,154745298.0,20318515.0,0.0,0.0,19141968.0,517704585.0,500314844.0,7336449.0,0.041907284402630945
31,(주)경동나비엔,9450,2023/12,94313665.0,96368.0,0.0,0.0,24142869.0,584595249.0,475962722.0,9347456.0,0.09900913814954392
32,(주)경동도시가스,267290,2020/12,0.0,1317869.0,0.0,0.0,5847421.0,356677691.0,342980474.0,988044.0,0.7497285390277789
33,(주)경동도시가스,267290,2021/12,0.0,1231668.0,0.0,0.0,7549731.0,375416487.0,529075279.0,846293.0,0.6871112994735594
34,(주)경동도시가스,267290,2022/12,0.0,909100.0,0.0,0.0,6833292.0,394988697.0,672626336.0,864898.0,0.9513782862171378
35,(주)경동도시가스,267290,2023/12,0.0,931822.0,0.0,0.0,8058031.0,420797886.0,530531232.0,915323.0,0.9822938286496777
36,(주)경방,50,2020/12,81277542.0,103064489.0,0.0,0.0,9657342.0,741929808.0,522972244.0,6744121.0,0.036584825302266526
37,(주)경방,50,2021/12,114176111.0,33537222.0,0.0,0.0,8862270.0,752146420.0,518658698.0,4125303.0,0.027927763298117442
38,(주)경방,50,2022/12,120584376.0,1272880.0,0.0,0.0,-2766934.0,755008459.0,493309854.0,7082150.0,0.05811841028161671
39,(주)경방,50,2023/12,117604551.0,80000000.0,0.0,0.0,10878287.0,738045544.0,468815407.0,12231935.0,0.061901079393662344
40,(주)경인양행,12610,2020/12,161934899.0,8711240.0,0.0,0.0,1402855.0,228381756.0,276720395.0,4733181.0,0.027736818586912182
41,(주)경인양행,12610,2021/12,190433553.0,10798902.0,0.0,0.0,5021028.0,251869915.0,327622550.0,4286714.0,0.021302299373130443
42,(주)경인양행,12610,2022/12,155994969.0,4400000.0,0.0,0.0,6983114.0,266154503.0,282098496.0,6255671.0,0.039001665943774085
43,(주)경인양행,12610,2023/12,174723426.0,13300000.0,0.0,0.0,-9397611.0,251693305.0,287262668.0,10414592.0,0.05538986402683674
44,(주)광명전기,17040,2020/12,11200000.0,0.0,0.0,0.0,1153538.0,109787206.0,56097484.0,202395.0,0.018070982142857142
45,(주)광명전기,17040,2021/12,10500000.0,0.0,0.0,0.0,793421.0,115135261.0,54791366.0,217932.0,0.02075542857142857
46,(주)광명전기,17040,2022/12,7500000.0,0.0,0.0,0.0,784152.0,118870746.0,53307671.0,265673.0,0.03542306666666667
47,(주)광명전기,17040,2023/12,7500000.0,0.0,0.0,0.0,2379615.0,130789198.0,56517453.0,319015.0,0.042535333333333335
48,(주)국동,5320,2020/12,19223507.0,0.0,0.0,0.0,7211619.0,83835084.0,96865598.0,4336090.0,0.2255618602786682
49,(주)국동,5320,2021/12,18327677.0,1565320.0,0.0,0.0,1065661.0,102364581.0,66109970.0,3555757.0,0.1787441580572299
50,(주)국동,5320,2022/12,15700052.0,1150673.0,0.0,0.0,4826384.0,109055850.0,65952316.0,1991083.0,0.11816007916573322
51,(주)국동,5320,2023/12,15854105.0,2482095.0,0.0,0.0,2610311.0,110792565.0,65127341.0,3319687.0,0.18104552742662056
52,(주)금호에이치티,214330,2020/12,31678400.0,15500000.0,0.0,0.0,1440108.0,223139865.0,121158723.0,9730585.0,0.20625084784562428
53,(주)금호에이치티,214330,2021/12,32450400.0,0.0,0.0,0.0,314766.0,350809715.0,107985910.0,3343224.0,0.10302566378226463
54,(주)금호에이치티,214330,2022/12,32257600.0,0.0,0.0,0.0,5478488.0,325800542.0,100833283.0,2687986.0,0.08332876593422946
55,(주)금호에이치티,214330,2023/12,34042000.0,0.0,0.0,0.0,5581518.0,303120573.0,138647691.0,4739292.0,0.13921896480817814
56,(주)나이스홀딩스,34310,2020/12,411182855.0,23937052.0,0.0,0.0,45285176.0,1249597654.0,1480757599.0,18837768.0,0.04329328007509434
57,(주)나이스홀딩스,34310,2021/12,494242265.0,74972263.0,0.0,0.0,45655069.0,1320444968.0,1763338212.0,20406344.0,0.035850005571185985
58,(주)나이스홀딩스,34310,2022/12,635205409.0,100840675.0,0.0,0.0,38770703.0,1320274778.0,2058288744.0,34434009.0,0.04678240907535349
59,(주)나이스홀딩스,34310,2023/12,655917990.0,89074705.0,0.0,0.0,25708754.0,1317521696.0,2166601590.0,56322063.0,0.07560082585776227
60,(주)남성,4270,2020/12,56465343.0,12974648.0,0.0,0.0,5726571.0,75475869.0,117797738.0,3349486.0,0.04823569173561673
61,(주)남성,4270,2021/12,65105850.0,867909.0,0.0,0.0,1738168.0,118573457.0,170183452.0,2728980.0,0.0413646280182398
62,(주)남성,4270,2022/12,70832277.0,14103762.0,0.0,0.0,812759.0,119499468.0,151652661.0,5548357.0,0.06532394334988943
63,(주)남성,4270,2023/12,82136039.0,1090909.0,0.0,0.0,874246.0,108115096.0,149998102.0,6090849.0,0.07318361596054201
64,(주)넥센,5720,2020/12,285834145.0,231823055.0,0.0,0.0,9011518.0,2041278847.0,2197933137.0,19184770.0,0.03706076144599167
65,(주)넥센,5720,2021/12,315343550.0,249295746.0,0.0,0.0,18222222.0,2116797176.0,2455495305.0,19935683.0,0.03530693513757852
66,(주)넥센,5720,2022/12,747066556.0,341694784.0,0.0,0.0,-4891391.0,2131183570.0,2595712644.0,29335797.0,0.02694419421615393
67,(주)넥센,5720,2023/12,534641874.0,435935823.0,0.0,0.0,80464902.0,2231606324.0,2829351044.0,62291387.0,0.06417970162774099
68,(주)노루페인트,90350,2020/12,36119765.0,58989455.0,0.0,0.0,9745288.0,333862156.0,332796975.0,4046705.0,0.042547977998347586
69,(주)노루페인트,90350,2021/12,27498829.0,25000000.0,0.0,0.0,9573199.0,344991439.0,325655495.0,3573767.0,0.0680732707390483
70,(주)노루페인트,90350,2022/12,14515781.0,39673000.0,0.0,0.0,6231480.0,352673416.0,315503886.0,3681071.0,0.06793050022660595
71,(주)노루페인트,90350,2023/12,12966125.0,29996667.0,0.0,0.0,7587301.0,374279148.0,294352125.0,3463475.0,0.08061568717414827
72,(주)농심,4370,2020/12,3290813.0,22273.0,0.0,0.0,41503996.0,2048963988.0,676564197.0,3912028.0,1.1807806981164992
73,(주)농심,4370,2021/12,3808016.0,60929.0,0.0,0.0,37179555.0,2200767286.0,699140508.0,1961879.0,0.5070837140357384
74,(주)농심,4370,2022/12,20494221.0,460756.0,0.0,0.0,42807029.0,2315340179.0,719378357.0,3067828.0,0.14640092422912226
75,(주)농심,4370,2023/12,21346845.0,282291.0,0.0,0.0,59659188.0,2440801761.0,793949665.0,3865576.0,0.17872077738102898
76,(주)다우기술,23590,2020/12,11236630836.0,0.0,0.0,0.0,350988887.0,3245177240.0,35377055590.0,7096049.0,0.0006315103791846241
77,(주)다우기술,23590,2021/12,13674528927.0,0.0,0.0,0.0,384585484.0,4616469257.0,41705976712.0,7532256.0,0.0005508238009667563
