회사명,거래소코드,회계년도,[제조]      단기차입금(*)(IFRS연결),[제조]      유동성장기부채(*)(IFRS연결),[제조]            사채(IFRS연결),[제조]            장기차입금(IFRS연결),[제조]   이자비용(IFRS연결),[제조]   이자비용(IFRS연결),[제조]   이자비용(IFRS연결),[제조]   이자비용(IFRS연결),[제조]법인세비용(IFRS연결),[제조]자본(*)(IFRS연결),[제조]부채(*)(IFRS연결)
(주)BNK금융지주,138930,2020/12,,,,,,,,,,,
(주)BNK금융지주,138930,2021/12,,,,,,,,,,,
(주)BNK금융지주,138930,2022/12,,,,,,,,,,,
(주)DB하이텍,000990,2020/12,15209836,56876690,0,0,0,0,0,6504852,43629661,794584513,383996685
(주)DB하이텍,000990,2021/12,33620488,36462710,0,0,0,0,0,3282000,103547897,1106049706,443888190
(주)DB하이텍,000990,2022/12,26652892,27999960,0,0,0,0,0,3310000,188301676,1638284078,484416396
(주)HJ중공업,097230,2020/12,0,150785000,0,0,0,0,0,57798000,-65462000,320003000,1873852000
(주)HJ중공업,097230,2021/12,0,150785000,0,0,0,0,0,47186000,-17824000,432005000,1953231000
(주)HJ중공업,097230,2022/12,0,70785000,0,0,0,0,0,43572000,-1467000,384990000,2182707000
(주)JB금융지주,175330,2020/12,,,,,,,,,,,
(주)JB금융지주,175330,2021/12,,,,,,,,,,,
(주)JB금융지주,175330,2022/12,,,,,,,,,,,
(주)KB금융지주,105560,2020/12,,,,,,,,,,,
(주)KB금융지주,105560,2021/12,,,,,,,,,,,
(주)KB금융지주,105560,2022/12,,,,,,,,,,,
(주)MH에탄올,023150,2020/12,44520549,7136962,0,0,0,0,0,12276917,1259646,80425495,369253871
(주)MH에탄올,023150,2021/12,45807596,143193536,0,0,0,0,0,12134724,2879109,84703339,366757413
(주)MH에탄올,023150,2022/12,73992274,13973952,0,0,0,0,0,11711547,-1752590,95397727,352042677
(주)MH에탄올,023150,2023/12,72818840,8700810,0,0,0,0,0,12192511,2575460,99070017,346161545
(주)SH에너지화학,002360,2020/12,3500000,0,0,0,0,0,0,203144,-2398171,90008391,27348204
(주)SH에너지화학,002360,2021/12,3500000,4800000,0,0,0,0,0,199789,608474,91739102,27889956
(주)SH에너지화학,002360,2022/12,3500000,2400000,0,0,0,0,0,374081,607077,94101468,30058824
(주)SIMPAC,009160,2020/12,142200000,55000,0,0,0,0,0,2954966,8722209,463986165,273291527
(주)SIMPAC,009160,2021/12,177300000,13750,0,0,0,0,0,3566962,24829270,546662289,356567304
(주)SIMPAC,009160,2022/12,231570000,0,0,0,0,0,0,5761061,19481090,599682757,365415682
(주)SIMPAC,009160,2023/12,321886523,3000000,0,0,0,0,0,13354680,48419,582578412,475335058
(주)SNT에너지,100840,2020/12,0,78839,0,0,0,0,0,53450,3843196,235772710,99578947
(주)SNT에너지,100840,2021/12,0,235630,0,0,0,0,0,62387,3894075,244849256,87294232
(주)SNT에너지,100840,2022/12,0,523027,0,0,0,0,0,335410,1899119,255431113,174341588
