,회사명,거래소코드,회계년도,유형자산,무형자산,비유동생물자산,기타비유동자산,재고자산,투하자산
0,(주)MH에탄올,23150,2020/12,395517355.0,354756.0,0.0,0.0,8357467.0,404229578.0
1,(주)MH에탄올,23150,2021/12,385959512.0,905837.0,0.0,0.0,9185766.0,396051115.0
2,(주)MH에탄올,23150,2022/12,376473746.0,897258.0,0.0,0.0,8772681.0,386143685.0
3,(주)MH에탄올,23150,2023/12,366740534.0,896178.0,0.0,0.0,10964395.0,378601107.0
4,(주)SIMPAC,9160,2020/12,227992661.0,2761253.0,0.0,1744208.0,131733391.0,364231513.0
5,(주)SIMPAC,9160,2021/12,221270861.0,4139593.0,0.0,1620.0,170336468.0,395748542.0
6,(주)SIMPAC,9160,2022/12,241529414.0,2460198.0,0.0,1579.0,209244754.0,453235945.0
7,(주)SIMPAC,9160,2023/12,257486883.0,6384052.0,0.0,40057.0,198639442.0,462550434.0
8,(주)SNT에너지,100840,2020/12,122744982.0,929400.0,0.0,807460.0,6105733.0,130587575.0
9,(주)SNT에너지,100840,2021/12,122868342.0,639148.0,0.0,1561627.0,2660700.0,127729817.0
10,(주)SNT에너지,100840,2022/12,151306532.0,4023715.0,0.0,6395267.0,11338101.0,173063615.0
11,(주)SNT에너지,100840,2023/12,149262658.0,3303787.0,0.0,9221267.0,3701260.0,165488972.0
12,(주)SNT홀딩스,36530,2020/12,776099263.0,14429429.0,0.0,27891987.0,216342558.0,1034763237.0
13,(주)SNT홀딩스,36530,2021/12,765317516.0,13078432.0,0.0,21028857.0,228720922.0,1028145727.0
14,(주)SNT홀딩스,36530,2022/12,796241785.0,12201047.0,0.0,25648921.0,310012908.0,1144104661.0
15,(주)SNT홀딩스,36530,2023/12,798914528.0,13145720.0,0.0,20529570.0,278647304.0,1111237122.0
16,(주)TCC스틸,2710,2020/12,61181028.0,4496240.0,0.0,1399196.0,54240200.0,121316664.0
17,(주)TCC스틸,2710,2021/12,63370170.0,4649783.0,0.0,155563.0,74684208.0,142859724.0
18,(주)TCC스틸,2710,2022/12,122062848.0,4477674.0,0.0,6701407.0,117113468.0,250355397.0
19,(주)TCC스틸,2710,2023/12,212663883.0,4591236.0,0.0,6415788.0,111271347.0,334942254.0
20,(주)강원랜드,35250,2020/12,1349374167.0,3849021.0,0.0,2160547.0,2159928.0,1357543663.0
21,(주)강원랜드,35250,2021/12,1303997346.0,3148289.0,0.0,15733905.0,3404349.0,1326283889.0
22,(주)강원랜드,35250,2022/12,1257950924.0,2761161.0,0.0,96533464.0,4027396.0,1361272945.0
23,(주)강원랜드,35250,2023/12,1234407714.0,1771811.0,0.0,118326857.0,5522131.0,1360028513.0
24,(주)경농,2100,2020/12,136536154.0,3900849.0,0.0,0.0,137861427.0,278298430.0
25,(주)경농,2100,2021/12,140576279.0,3772449.0,0.0,0.0,136702685.0,281051413.0
26,(주)경농,2100,2022/12,145721740.0,3736408.0,0.0,2853010.0,162194642.0,314505800.0
27,(주)경농,2100,2023/12,141920449.0,3666539.0,0.0,3160113.0,159477563.0,308224664.0
